"","fnde_raw","ipea_raw"
"1","agnoline",NA
"2","chineque",NA
"3","chipsmandioca",NA
"4","aipimascado",NA
"5","rapaduraanulada",NA
"6","rosquinha",NA
"7","colorifico",NA
"8","cheiroverdeorganico",NA
"9","aboboraascada",NA
"10","linguicinha",NA
"11","sequilhos",NA
"12","hortifrutigranjeiros",NA
"13","aboboraacada",NA
"14","amendoimascado",NA
"15","polpaaviola",NA
"16","refrigerante",NA
"17","macaxeiraascada",NA
"18","alhoascado",NA
"19","tabuleiro",NA
"20","coentroidade",NA
"21","cebolinhaidade",NA
"22","laranjaidade",NA
"23","tangerinaidade",NA
"24","hortifrutigranjeiro",NA
"25","macaxeiramandioca",NA
"26","mandiocamacaxeira",NA
"27","cambotian",NA
"28","mandiocaasacada",NA
"29","agholine",NA
"30","acelgaidade",NA
"31","condimento",NA
"32","aipimascao",NA
"33","capeletti",NA
"34","repolhoidade",NA
"35","tapiocaanulada",NA
"36","sequilhosid",NA
"37","escarolaidade",NA
"38","quirerinha",NA
"39","paletaossa",NA
"40","schimier",NA
"41","mandiocaascad",NA
"42","aboborapaulista",NA
"43","composto",NA
"44","cuquinhas",NA
"45","enroladinho",NA
"46","entregasca",NA
"47","bolachaalfajor",NA
"48","ruculaidade",NA
"49","melanciaidade",NA
"50","pimentaoidade",NA
"51","cortecong",NA
"52","iogurtesabores",NA
"53","mandiocaacada",NA
"54","aboboraascadaada",NA
"55","hortifrutigrangeiros",NA
"56","esfirras",NA
"57","abacaxiidade",NA
"58","brasileira",NA
"59","aquisicao",NA
"60","aboborakabotia",NA
"61","clorifico",NA
"62","mussarelaande",NA
"63","hortifruticola",NA
"64","rapadurinhaproduto",NA
"65","mamaoidade",NA
"66","limaotaiti",NA
"67","hortifruticolas",NA
"68","schmier",NA
"69","mandioncaascada",NA
"70","melsilvestre",NA
"71","apresuntado",NA
"72","mandiocaaudaascada",NA
"73","aboboraascadas",NA
"74","mandiocadescascada",NA
"75","sanduiche",NA
"76","tomatecolorido",NA
"77","mamaoformosa",NA
"78","agnolines",NA
"79","vagempicada",NA
"80","aboboracabotia",NA
"81","sobrecoxa",NA
"82","chocolateanulado",NA
"83","panetone",NA
"84","beijuzinho",NA
"85","molusculo",NA
"86","hortifruticulas",NA
"87","fortifrutuculas",NA
"88","macacheiraascada",NA
"89","coopervita",NA
"90","phisallys",NA
"91","queijadinha",NA
"92","amendoinascado",NA
"93","bananananica",NA
"94","talharim",NA
"95","complemento",NA
"96","brigadeiro",NA
"97","bacaxiaudo",NA
"98","ovosidade",NA
"99","agnolini",NA
"100","colorificosul",NA
"101","condimentos",NA
"102","conservas",NA
"103","enroladim",NA
"104","abrobinhaada",NA
"105","mandiocapicemb",NA
"106","pirarucu",NA
"107","colorifero",NA
"108","iogurtemorango",NA
"109","iogurtesalada",NA
"110","alfaceidade",NA
"111","goma","roma"
"112","po","pao"
"113","po","pe"
"114","melaco","melado"
"115","melaco","melao"
"116","frutos","frutas"
"117","p","pe"
"118","palito","palmito"
"119","feixe","peixe"
"120","maco","maca"
"121","bata","nata"
"122","popa","sopa"
"123","pa","pao"
"124","pa","pe"
"125","bana","banha"
"126","bana","cana"
"127","bana","mana"
"128","bataba","bacaba"
"129","gelado","melado"
"130","baroa","barra"
"131","baroa","broa"
"132","pae","pe"
"133","pimento","pimentao"
"134","carna","cana"
"135","carna","cara"
"136","banaba","bacaba"
"137","malao","mamao"
"138","fruto","fruta"
"139","me","pe"
"140","de","pe"
"141","posta","pasta"
"142","pinho","pinhao"
"143","sacos","sucos"
"144","cuca","acucar"
"145","cuca","cacau"
"146","cuca","caja"
"147","cuca","cana"
"148","cuca","cara"
"149","cuca","coco"
"150","cuca","fuba"
"151","cuca","jaca"
"152","cuca","lula"
"153","cuca","maca"
"154","cuca","suco"
"155","cuca","uva"
"156","ora","amora"
"157","ora","broa"
"158","ora","cara"
"159","ora","erva"
"160","ora","ovo"
"161","ora","pera"
"162","ora","roma"
"163","ora","soja"
"164","ora","sopa"
"165","ora","sorda"
"166","ora","torta"
"167","ora","uva"
"168","frango","morango"
"169","galinha","farinha"
"170","galinha","salsinha"
"171","file","figo"
"172","file","jilo"
"173","un","pe"
"174","un","uva"
"175","bananada","banana"
"176","miudo","milho"
"177","corte","couve"
"178","corte","torta"
"179","iog","figo"
"180","iog","inga"
"181","goiabada","goiaba"
"182","mini","kiwi"
"183","mini","mana"
"184","mini","mix"
"185","","pe"
"186","baru","barra"
"187","baru","caju"
"188","baru","cara"
"189","grango","morango"
"190","raiz","taia"
"191","pipoca","pacoca"
"192","ponca","pinha"
"193","ponca","polpa"
"194","ponca","rosca"
"195","chimia","chicha"
"196","beb","mel"
"197","beb","pe"
"198","tortei","torta"
"199","caixa","caja"
"200","caixa","cana"
"201","caixa","cara"
"202","caixa","caxi"
"203","caixa","taia"
"204","aipo","alho"
"205","aipo","figo"
"206","aipo","jilo"
"207","aipo","aipim"
"208","figado","figo"
"209","acc","acai"
"210","acc","jaca"
"211","acc","maca"
"212","pote","pe"
"213","pote","peta"
"214","grao","agriao"
"215","grao","broa"
"216","grao","pao"
"217","lombo","bombom"
"218","lombo","jambo"
"219","lombo","limao"
"220","lombo","louro"
"221","frago","figo"
"222","frago","trigo"
"223","coxa","caja"
"224","coxa","cana"
"225","coxa","cara"
"226","coxa","caxi"
"227","coxa","coco"
"228","coxa","roma"
"229","coxa","soja"
"230","coxa","sopa"
"231","sonho","molho"
"232","c","pe"
"233","br","broa"
"234","br","pe"
"235","mam","maca"
"236","mam","mana"
"237","mam","mel"
"238","mam","mix"
"239","mam","pao"
"240","raspa","massa"
"241","raspa","pasta"
"242","raspa","rosca"
"243","vinho","milho"
"244","vinho","pinha"
"245","vinho","pinhao"
"246","cominho","bolinho"
"247","paes","aves"
"248","paes","pe"
"249","req","mel"
"250","req","pe"
"251","isca","inga"
"252","isca","jaca"
"253","isca","maca"
"254","isca","rosca"
"255","chu","caju"
"256","ravioli","graviola"
"257","sal","mel"
"258","sal","pao"
"259","sal","salsa"
"260","t","pe"
"261","melacos","melado"
"262","melacos","melao"
"263","salvia","salada"
"264","salvia","salsa"
"265","pastel","pasta"
"266","pizza","pinha"
"267","poejo","polvo"
"268","broto","bolo"
"269","broto","broa"
"270","moida","sorda"
"271","peito","peixe"
"272","peito","leite"
"273","peito","pepino"
"274","peito","peta"
"275","cubos","sucos"
"276","polenta","pimenta"
"277","blos","broa"
"278","palma","pasta"
"279","palma","polpa"
"280","palma","salsa"
"281","nozinho","bolinho"
"282","papinha","farinha"
"283","papinha","pamonha"
"284","papinha","pinha"
"285","cha","caja"
"286","cha","cana"
"287","cha","cara"
"288","cha","uva"
"289","panc","cana"
"290","panc","mana"
"291","panc","pao"
"292","folha","molho"
"293","folha","polpa"
"294","ac","acai"
"295","ac","jaca"
"296","ac","maca"
"297","ac","pao"
"298","ac","pe"
"299","salame","salada"
"300","canela","cana"
"301","arraia","araca"
"302","bife","cafe"
"303","bala","banha"
"304","bala","barra"
"305","bala","bolo"
"306","bala","broa"
"307","bala","caja"
"308","bala","cana"
"309","bala","cara"
"310","bala","fava"
"311","bala","jaca"
"312","bala","lula"
"313","bala","maca"
"314","bala","mana"
"315","bala","nata"
"316","bala","salsa"
"317","bala","taia"
"318","kg","pe"
"319","cuxa","caja"
"320","cuxa","cana"
"321","cuxa","cara"
"322","cuxa","caxi"
"323","cuxa","fuba"
"324","cuxa","lula"
"325","cuxa","uva"
"326","cn","cana"
"327","cn","pe"
"328","fibra","cidra"
"329","fibra","fuba"
"330","feij","beiju"
"331","pitaia","taia"
"332","joao","bolo"
"333","joao","coco"
"334","joao","jilo"
"335","joao","ovo"
"336","joao","pao"
"337","curau","cacau"
"338","curau","cara"
"339","maracujina","maracuja"
"340","poca","doce"
"341","poca","coco"
"342","poca","jaca"
"343","poca","maca"
"344","poca","pacoca"
"345","poca","pera"
"346","poca","peta"
"347","poca","polpa"
"348","poca","roma"
"349","poca","rosca"
"350","poca","soja"
"351","poca","sopa"
"352","pouca","polpa"
"353","pouca","rosca"
"354","bisto","risoto"
"355","ricota","risoto"
"356","a","pao"
"357","a","pe"
"358","a","uva"
"359","sua","fuba"
"360","sua","lula"
"361","sua","soja"
"362","sua","sopa"
"363","sua","suco"
"364","sua","uva"
"365","coen","coco"
"366","iame","cafe"
"367","sagu","caju"
"368","tanja","banha"
"369","tanja","caja"
"370","tanja","cana"
"371","tanja","mana"
"372","tanja","manga"
"373","tanja","taia"
"374","magas","maca"
"375","magas","mamao"
"376","magas","mana"
"377","magas","manga"
"378","magas","massa"
"379","xero","nego"
"380","xero","pera"
"381","xero","xerem"
"382","vs","aves"
"383","vs","ovo"
"384","vs","pe"
"385","vs","uva"
"386","moraga","morango"
"387","coveada","cocada"
"388","tang","cana"
"389","tang","mana"
"390","tang","manga"
"391","tang","taia"
"392","ma","lima"
"393","ma","maca"
"394","ma","mana"
"395","ma","mel"
"396","ma","mix"
"397","ma","pao"
"398","ma","pe"
"399","ma","roma"
"400","ma","uva"
"401","pene","peixe"
"402","pene","pe"
"403","pene","pera"
"404","pene","peta"
"405","costela","hortela"
"406","mangaid","mangaba"
"407","mangaid","mangalo"
"408","misto","milho"
"409","misto","risoto"
"410","rxx","mix"
"411","jamelao","melao"
"412","quinoa","suino"
"413","vos","aves"
"414","vos","ovo"
"415","kit","kiwi"
"416","kit","mix"
"417","sardinha","farinha"
"418","sardinha","salsinha"
"419","porco","coco"
"420","porco","polvo"
"421","uvakg","uvaia"
"422","cucas","acucar"
"423","cucas","cacau"
"424","cucas","sucos"
"425","id","mix"
"426","id","pe"
"427","chipa","chicha"
"428","n","pe"
"429","moela","mel"
"430","moela","melao"
"431","palpo","alho"
"432","palpo","caldo"
"433","palpo","pao"
"434","palpo","polvo"
"435","bebida","beiju"
"436","bebida","biriba"
"437","bebida","cebola"
"438","orelha","acelga"
"439","orelha","ervilha"
"440","orelha","hortela"
"441","orelha","uvalha"
"442","corante","carne"
"443","corante","morango"
"444","corante","sorvete"
"445","corante","tomate"
"446","mandioquinha","canjiquinha"
"447","couveada","cocada"
"448","pimentoes","pimenta"
"449","mamoes","amora"
"450","mamoes","aves"
"451","garrafa","araca"
"452","garrafa","barra"
"453","batatinha","catalonha"
"454","linguica","linhaca"
"455","geleia","aveia"
"456","tareco","araca"
"457","tareco","marisco"
"458","tareco","marmelo"
"459","tareco","trigo"
"460","tomatinho","tamarindo"
"461","tomatinho","toucinho"
"462","limoes","lima"
"463","amido","agriao"
"464","amido","alho"
"465","amido","ameixa"
"466","amido","amendoa"
"467","amido","amora"
"468","amido","caldo"
"469","amido","figo"
"470","amido","jambo"
"471","amido","jilo"
"472","amido","limao"
"473","amido","mamao"
"474","amido","milho"
"475","amido","mix"
"476","amido","palmito"
"477","amido","suino"
"478","amido","trigo"
"479","pernil","pepino"
"480","pernil","pequi"
"481","pernil","pera"
"482","queijada","queijo"
"483","bandeja","banana"
"484","bandeja","banha"
"485","bisc","beiju"
"486","bisc","bolo"
"487","bisc","broa"
"488","bisc","figo"
"489","bisc","jilo"
"490","bisc","kiwi"
"491","bisc","lima"
"492","bisc","mix"
"493","bisc","rosca"
"494","nozes","doce"
"495","nozes","aves"
"496","nozes","oleo"
"497","marmelada","marmelo"
"498","sacolao","pacoca"
"499","sacolao","salsao"
"500","cabotia","cagaita"
"501","cabotia","cebola"
"502","cajuina","cagaita"
"503","cajuina","caja"
"504","cajuina","caju"
"505","cajuina","cana"
"506","cajuina","canjica"
"507","cajuina","caqui"
"508","pupunha","pamonha"
"509","pupunha","pinha"
"510","pupunha","mugunza"
"511","picado","caldo"
"512","picado","cocada"
"513","picado","limao"
"514","picado","melado"
"515","picado","pao"
"516","picado","pinhao"
"517","iscas","acai"
"518","iscas","cacau"
"519","iscas","sucos"
"520","iscas","inga"
"521","iscas","jaca"
"522","iscas","maca"
"523","iscas","rosca"
"524","mistura","mostarda"
"525","cheiro","cariru"
"526","cheiro","coentro"
"527","cheiro","queijo"
"528","cabutia","cagaita"
"529","cabutia","caqui"
"530","banjeda","banana"
"531","banjeda","banha"
"532","banjeda","canjica"
"533","sobre","doce"
"534","sobre","couve"
"535","sobre","louro"
"536","sobre","soja"
"537","sobre","sopa"
"538","sobre","sorda"
"539","lentilha","bertalha"
"540","lentilha","ervilha"
"541","cueca","acucar"
"542","cueca","araca"
"543","cueca","aveia"
"544","cueca","cacau"
"545","cueca","caja"
"546","cueca","cana"
"547","cueca","cara"
"548","cueca","chicha"
"549","cueca","cidra"
"550","cueca","coco"
"551","cueca","creme"
"552","cueca","cuscuz"
"553","cueca","fuba"
"554","cueca","jaca"
"555","cueca","lula"
"556","cueca","maca"
"557","cueca","pera"
"558","cueca","peta"
"559","cueca","rosca"
"560","cueca","suco"
"561","cueca","uva"
"562","cravo","araca"
"563","cravo","cafe"
"564","cravo","caja"
"565","cravo","caju"
"566","cravo","caldo"
"567","cravo","cana"
"568","cravo","cara"
"569","cravo","carne"
"570","cravo","caxi"
"571","cravo","coco"
"572","cravo","couve"
"573","cravo","creme"
"574","cravo","erva"
"575","cravo","fava"
"576","cravo","nabo"
"577","cravo","ovo"
"578","cravo","pao"
"579","cravo","polvo"
"580","cravo","trigo"
"581","espiga","nespera"
"582","cereais","vegetais"
"583","folhas","flocos"
"584","folhas","frutas"
"585","folhas","molho"
"586","folhas","polpa"
"587","files","figo"
"588","files","aves"
"589","files","jilo"
"590","files","milho"
"591","files","oleo"
"592","morgota","torta"
"593","coalhada","cocada"
"594","coalhada","salada"
"595","seleta","peta"
"596","seleta","salada"
"597","seleta","salsa"
"598","chas","acai"
"599","chas","cacau"
"600","chas","cafe"
"601","chas","caja"
"602","chas","caju"
"603","chas","cana"
"604","chas","cara"
"605","chas","caxi"
"606","chas","coco"
"607","chas","aves"
"608","chas","pao"
"609","chas","uva"
"610","quirera","quibe"
"611","manjerona","tangerina"
"612","manjerona","manjericao"
"613","geremun","xerem"
"614","melpuro","louro"
"615","melpuro","melado"
"616","melpuro","melao"
"617","melpuro","tempero"
"618","presunto","produto"
"619","morgote","jongome"
"620","morgote","sorvete"
"621","charque","caqui"
"622","charque","charuto"
"623","mortadela","hortela"
"624","biomassa","massa"
"625","baleeira","almeirao"
"626","monte","doce"
"627","monte","couve"
"628","monte","leite"
"629","monte","mana"
"630","monte","manga"
"631","monte","molho"
"632","monte","tomate"
